Year,Month,Day,Period,1,2,3
2020,1,1,1,0,33.08,0
2020,1,1,2,0,32.488,0
2020,1,1,3,0,32.394,0
2020,1,1,4,0,32.354,0
2020,1,1,5,0,32.973,0
2020,1,1,6,0,34.682,0
2020,1,1,7,0,36.997,0
2020,1,1,8,0,36.62,0
2020,1,1,9,0,36.122,0
2020,1,1,10,0,36.283,0
2020,1,1,11,0,35.435,0
2020,1,1,12,0,35.22,0
2020,1,1,13,0,35.247,0
2020,1,1,14,0,34.857,0
2020,1,1,15,0,34.722,0
2020,1,1,16,0,34.857,0
2020,1,1,17,0,35.812,0
2020,1,1,18,0,42.272,0
2020,1,1,19,0,42.851,0
2020,1,1,20,0,42.205,0
2020,1,1,21,0,41.142,0
2020,1,1,22,0,38.908,0
2020,1,1,23,0,36.324,0
2020,1,1,24,0,34.157,0
2020,1,2,1,0,32.919,0
2020,1,2,2,0,32.475,0
2020,1,2,3,0,32.246,0
2020,1,2,4,0,32.313,0
2020,1,2,5,0,32.919,0
2020,1,2,6,0,34.655,0
2020,1,2,7,0,37.091,0
2020,1,2,8,0,36.458,0
2020,1,2,9,0,36.122,0
2020,1,2,10,0,35.785,0
2020,1,2,11,0,35.557,0
2020,1,2,12,0,35.328,0
2020,1,2,13,0,34.924,0
2020,1,2,14,0,34.911,0
2020,1,2,15,0,34.588,0
2020,1,2,16,0,34.413,0
2020,1,2,17,0,36.472,0
2020,1,2,18,0,41.599,0
2020,1,2,19,0,42.07,0
2020,1,2,20,0,41.922,0
2020,1,2,21,0,40.765,0
2020,1,2,22,0,38.517,0
2020,1,2,23,0,36.203,0
2020,1,2,24,0,34.076,0
2020,1,3,1,0,32.986,0
2020,1,3,2,0,32.596,0
2020,1,3,3,0,32.3,0
2020,1,3,4,0,32.421,0
2020,1,3,5,0,33.067,0
2020,1,3,6,0,34.938,0
2020,1,3,7,0,37.495,0
2020,1,3,8,0,36.674,0
2020,1,3,9,0,36.445,0
2020,1,3,10,0,36.122,0
2020,1,3,11,0,35.785,0
2020,1,3,12,0,35.355,0
2020,1,3,13,0,35.086,0
2020,1,3,14,0,34.641,0
2020,1,3,15,0,34.493,0
2020,1,3,16,0,34.265,0
2020,1,3,17,0,32.555,0
2020,1,3,18,0,40.63,0
2020,1,3,19,0,40.819,0
2020,1,3,20,0,40.24,0
2020,1,3,21,0,39.258,0
2020,1,3,22,0,37.939,0
2020,1,3,23,0,36.351,0
2020,1,3,24,0,34.52,0
2020,1,4,1,0,33.296,0
2020,1,4,2,0,32.798,0
2020,1,4,3,0,32.609,0
2020,1,4,4,0,32.488,0
2020,1,4,5,0,32.851,0
2020,1,4,6,0,33.605,0
2020,1,4,7,0,34.466,0
2020,1,4,8,0,33.807,0
2020,1,4,9,0,34.143,0
2020,1,4,10,0,34.292,0
2020,1,4,11,0,33.942,0
2020,1,4,12,0,33.188,0
2020,1,4,13,0,33.538,0
2020,1,4,14,0,33.174,0
2020,1,4,15,0,33,0
2020,1,4,16,0,32.488,0
2020,1,4,17,0,34.493,0
2020,1,4,18,0,39.661,0
2020,1,4,19,0,39.715,0
2020,1,4,20,0,39.123,0
2020,1,4,21,0,38.235,0
2020,1,4,22,0,37.118,0
2020,1,4,23,0,35.732,0
2020,1,4,24,0,34.251,0
2020,1,5,1,0,33.201,0
2020,1,5,2,0,32.65,0
2020,1,5,3,0,32.179,0
2020,1,5,4,0,32.152,0
2020,1,5,5,0,32.38,0
2020,1,5,6,0,32.932,0
2020,1,5,7,0,33.511,0
2020,1,5,8,0,32.851,0
2020,1,5,9,0,33.282,0
2020,1,5,10,0,33.646,0
2020,1,5,11,0,33.646,0
2020,1,5,12,0,33.43,0
2020,1,5,13,0,33.269,0
2020,1,5,14,0,33.053,0
2020,1,5,15,0,32.798,0
2020,1,5,16,0,32.784,0
2020,1,5,17,0,34.655,0
2020,1,5,18,0,39.406,0
2020,1,5,19,0,39.971,0
2020,1,5,20,0,39.54,0
2020,1,5,21,0,38.221,0
2020,1,5,22,0,36.701,0
2020,1,5,23,0,34.803,0
2020,1,5,24,0,33.309,0
2020,1,6,1,0,32.502,0
2020,1,6,2,0,32.205,0
2020,1,6,3,0,31.923,0
2020,1,6,4,0,32.098,0
2020,1,6,5,0,32.717,0
2020,1,6,6,0,34.615,0
2020,1,6,7,0,37.36,0
2020,1,6,8,0,36.566,0
2020,1,6,9,0,36.499,0
2020,1,6,10,0,36.176,0
2020,1,6,11,0,36.189,0
2020,1,6,12,0,35.933,0
2020,1,6,13,0,35.032,0
2020,1,6,14,0,34.103,0
2020,1,6,15,0,34.399,0
2020,1,6,16,0,34.238,0
2020,1,6,17,0,36.068,0
2020,1,6,18,0,42.232,0
2020,1,6,19,0,43.51,0
2020,1,6,20,0,43.107,0
2020,1,6,21,0,42.205,0
2020,1,6,22,0,40.24,0
2020,1,6,23,0,37.104,0
2020,1,6,24,0,35.139,0
2020,1,7,1,0,32.825,0
2020,1,7,2,0,32.542,0
2020,1,7,3,0,32.475,0
2020,1,7,4,0,32.677,0
2020,1,7,5,0,33.551,0
2020,1,7,6,0,35.812,0
2020,1,7,7,0,38.827,0
2020,1,7,8,0,37.885,0
2020,1,7,9,0,36.727,0
2020,1,7,10,0,35.88,0
2020,1,7,11,0,32.542,0
2020,1,7,12,0,35.584,0
2020,1,7,13,0,35.072,0
2020,1,7,14,0,34.574,0
2020,1,7,15,0,34.13,0
2020,1,7,16,0,34.17,0
2020,1,7,17,0,36.378,0
2020,1,7,18,0,42.595,0
2020,1,7,19,0,43.82,0
2020,1,7,20,0,43.389,0
2020,1,7,21,0,42.622,0
2020,1,7,22,0,40.509,0
2020,1,7,23,0,37.36,0
2020,1,7,24,0,35.328,0
2020,1,8,1,0,34.224,0
2020,1,8,2,0,33.915,0
2020,1,8,3,0,33.807,0
2020,1,8,4,0,34.036,0
2020,1,8,5,0,35.139,0
2020,1,8,6,0,37.912,0
2020,1,8,7,0,41.371,0
2020,1,8,8,0,40.24,0
2020,1,8,9,0,39.096,0
2020,1,8,10,0,38.06,0
2020,1,8,11,0,37.212,0
2020,1,8,12,0,36.485,0
2020,1,8,13,0,35.651,0
2020,1,8,14,0,35.274,0
2020,1,8,15,0,34.722,0
2020,1,8,16,0,35.274,0
2020,1,8,17,0,38.585,0
2020,1,8,18,0,43.726,0
2020,1,8,19,0,44.506,0
2020,1,8,20,0,44.116,0
2020,1,8,21,0,42.73,0
2020,1,8,22,0,40.509,0
2020,1,8,23,0,37.562,0
2020,1,8,24,0,35.355,0
2020,1,9,1,0,34.251,0
2020,1,9,2,0,33.646,0
2020,1,9,3,0,33.565,0
2020,1,9,4,0,33.861,0
2020,1,9,5,0,34.749,0
2020,1,9,6,0,37.333,0
2020,1,9,7,0,40.334,0
2020,1,9,8,0,39.042,0
2020,1,9,9,0,38.167,0
2020,1,9,10,0,37.239,0
2020,1,9,11,0,35.57,0
2020,1,9,12,0,34.547,0
2020,1,9,13,0,34.13,0
2020,1,9,14,0,33.686,0
2020,1,9,15,0,33.43,0
2020,1,9,16,0,33.713,0
2020,1,9,17,0,35.314,0
2020,1,9,18,0,41.451,0
2020,1,9,19,0,42.595,0
2020,1,9,20,0,42.191,0
2020,1,9,21,0,40.98,0
2020,1,9,22,0,38.908,0
2020,1,9,23,0,36.391,0
2020,1,9,24,0,34.466,0
2020,1,10,1,0,33.39,0
2020,1,10,2,0,32.892,0
2020,1,10,3,0,32.717,0
2020,1,10,4,0,32.919,0
2020,1,10,5,0,33.767,0
2020,1,10,6,0,35.826,0
2020,1,10,7,0,37.925,0
2020,1,10,8,0,37.225,0
2020,1,10,9,0,36.687,0
2020,1,10,10,0,36.418,0
2020,1,10,11,0,36.189,0
2020,1,10,12,0,35.624,0
2020,1,10,13,0,35.126,0
2020,1,10,14,0,34.749,0
2020,1,10,15,0,34.278,0
2020,1,10,16,0,34.036,0
2020,1,10,17,0,35.274,0
2020,1,10,18,0,40.375,0
2020,1,10,19,0,40.926,0
2020,1,10,20,0,40.375,0
2020,1,10,21,0,39.554,0
2020,1,10,22,0,38.302,0
2020,1,10,23,0,36.458,0
2020,1,10,24,0,34.561,0
2020,1,11,1,0,33.457,0
2020,1,11,2,0,32.932,0
2020,1,11,3,0,32.569,0
2020,1,11,4,0,32.515,0
2020,1,11,5,0,32.65,0
2020,1,11,6,0,33.201,0
2020,1,11,7,0,33.982,0
2020,1,11,8,0,33.538,0
2020,1,11,9,0,34.036,0
2020,1,11,10,0,34.292,0
2020,1,11,11,0,33.982,0
2020,1,11,12,0,33.659,0
2020,1,11,13,0,33.336,0
2020,1,11,14,0,33.161,0
2020,1,11,15,0,33,0
2020,1,11,16,0,33.296,0
2020,1,11,17,0,34.938,0
2020,1,11,18,0,39.621,0
2020,1,11,19,0,39.796,0
2020,1,11,20,0,39.298,0
2020,1,11,21,0,38.396,0
2020,1,11,22,0,37.037,0
2020,1,11,23,0,35.53,0
2020,1,11,24,0,34.009,0
2020,1,12,1,0,32.959,0
2020,1,12,2,0,32.502,0
2020,1,12,3,0,32.071,0
2020,1,12,4,0,31.963,0
2020,1,12,5,0,32.152,0
2020,1,12,6,0,32.717,0
2020,1,12,7,0,33.349,0
2020,1,12,8,0,32.784,0
2020,1,12,9,0,33.282,0
2020,1,12,10,0,33.753,0
2020,1,12,11,0,33.646,0
2020,1,12,12,0,33.982,0
2020,1,12,13,0,33.619,0
2020,1,12,14,0,33.632,0
2020,1,12,15,0,33.511,0
2020,1,12,16,0,33.686,0
2020,1,12,17,0,35.422,0
2020,1,12,18,0,41.586,0
2020,1,12,19,0,42.716,0
2020,1,12,20,0,42.138,0
2020,1,12,21,0,41.101,0
2020,1,12,22,0,39.823,0
2020,1,12,23,0,38.221,0
2020,1,12,24,0,36.243,0
2020,1,13,1,0,35.032,0
2020,1,13,2,0,34.453,0
2020,1,13,3,0,34.17,0
2020,1,13,4,0,34.386,0
2020,1,13,5,0,35.139,0
2020,1,13,6,0,36.862,0
2020,1,13,7,0,38.733,0
2020,1,13,8,0,37.723,0
2020,1,13,9,0,38.087,0
2020,1,13,10,0,38.625,0
2020,1,13,11,0,37.979,0
2020,1,13,12,0,37.212,0
2020,1,13,13,0,36.539,0
2020,1,13,14,0,35.853,0
2020,1,13,15,0,35.341,0
2020,1,13,16,0,35.139,0
2020,1,13,17,0,37.225,0
2020,1,13,18,0,44.21,0
2020,1,13,19,0,45.3,0
2020,1,13,20,0,45.529,0
2020,1,13,21,0,44.278,0
2020,1,13,22,0,42.366,0
2020,1,13,23,0,39.782,0
2020,1,13,24,0,37.185,0
2020,1,14,1,0,35.758,0
2020,1,14,2,0,35.274,0
2020,1,14,3,0,34.978,0
2020,1,14,4,0,35.314,0
2020,1,14,5,0,36.351,0
2020,1,14,6,0,39.325,0
2020,1,14,7,0,42.595,0
2020,1,14,8,0,41.276,0
2020,1,14,9,0,39.836,0
2020,1,14,10,0,38.639,0
2020,1,14,11,0,37.616,0
2020,1,14,12,0,36.552,0
2020,1,14,13,0,35.732,0
2020,1,14,14,0,34.991,0
2020,1,14,15,0,34.615,0
2020,1,14,16,0,34.574,0
2020,1,14,17,0,36.781,0
2020,1,14,18,0,43.107,0
2020,1,14,19,0,44.331,0
2020,1,14,20,0,43.941,0
2020,1,14,21,0,42.649,0
2020,1,14,22,0,40.294,0
2020,1,14,23,0,37.562,0
2020,1,14,24,0,34.938,0
2020,1,15,1,0,33.928,0
2020,1,15,2,0,33.484,0
2020,1,15,3,0,33.242,0
2020,1,15,4,0,33.403,0
2020,1,15,5,0,34.386,0
2020,1,15,6,0,36.781,0
2020,1,15,7,0,39.931,0
2020,1,15,8,0,38.692,0
2020,1,15,9,0,37.575,0
2020,1,15,10,0,36.687,0
2020,1,15,11,0,36.404,0
2020,1,15,12,0,35.907,0
2020,1,15,13,0,35.624,0
2020,1,15,14,0,35.314,0
2020,1,15,15,0,34.816,0
2020,1,15,16,0,34.588,0
2020,1,15,17,0,36.539,0
2020,1,15,18,0,42.272,0
2020,1,15,19,0,43.201,0
2020,1,15,20,0,42.434,0
2020,1,15,21,0,40.913,0
2020,1,15,22,0,38.625,0
2020,1,15,23,0,35.785,0
2020,1,15,24,0,33.646,0
2020,1,16,1,0,32.528,0
2020,1,16,2,0,32.152,0
2020,1,16,3,0,32.138,0
2020,1,16,4,0,32.327,0
2020,1,16,5,0,32.825,0
2020,1,16,6,0,34.561,0
2020,1,16,7,0,37.306,0
2020,1,16,8,0,37.158,0
2020,1,16,9,0,37.05,0
2020,1,16,10,0,36.633,0
2020,1,16,11,0,35.691,0
2020,1,16,12,0,35.382,0
2020,1,16,13,0,35.045,0
2020,1,16,14,0,34.655,0
2020,1,16,15,0,34.44,0
2020,1,16,16,0,34.426,0
2020,1,16,17,0,36.041,0
2020,1,16,18,0,42.165,0
2020,1,16,19,0,43.726,0
2020,1,16,20,0,43.766,0
2020,1,16,21,0,42.555,0
2020,1,16,22,0,40.334,0
2020,1,16,23,0,37.4,0
2020,1,16,24,0,35.086,0
2020,1,17,1,0,34.305,0
2020,1,17,2,0,33.847,0
2020,1,17,3,0,33.767,0
2020,1,17,4,0,34.13,0
2020,1,17,5,0,35.112,0
2020,1,17,6,0,37.683,0
2020,1,17,7,0,40.913,0
2020,1,17,8,0,39.944,0
2020,1,17,9,0,39.029,0
2020,1,17,10,0,38.167,0
2020,1,17,11,0,37.225,0
2020,1,17,12,0,36.162,0
2020,1,17,13,0,35.489,0
2020,1,17,14,0,35.166,0
2020,1,17,15,0,34.44,0
2020,1,17,16,0,34.17,0
2020,1,17,17,0,35.624,0
2020,1,17,18,0,41.384,0
2020,1,17,19,0,42.945,0
2020,1,17,20,0,42.891,0
2020,1,17,21,0,42.272,0
