"Year","Month","Day","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
2020,1,1,0,0,0,21.67,0,0,26.6,21.67,0,6.542,15,50,15,35,19,20,20.214,32.222,20.3,5.866,17.311,20,50,15
2020,1,2,15,0,27.317,14.769,15,15.017,16.242,0,0,0,15,0,0,15,0,0,50.082,10.242,19.326,30.444,35,0,18.667,2
2020,1,3,15,0,20.488,11.077,0,11.219,14,0,0,0,15,0,0,15,0,3.659,20.7,20.7,20.7,20.7,20.7,16.026,20,27.587
2020,1,4,17.3,0,0,19.5,1.383,1.383,20.7,20,11.308,9.152,15,0,0,15,31.632,0,0,0,0,0.174,31.6,0,0,18.091
2020,1,5,18.075,30,35,16.699,33,0,0,0,0,20,0,0,0,34.533,38.386,17.343,0,5.001,4.436,2.821,0,0,16.94,18.286
2020,1,6,20,30,35,0,35,20,0,0,0,13.505,0,0,0,35,34.942,12,0,31.468,0,0,0,0,11.518,35
2020,1,7,13.758,4.582,27.861,0,35,8.685,10.253,0,0,20,0,0,0,35,36.792,0,20.235,20,0,0,0,0,7.687,20.7
2020,1,8,20.7,0,27.831,15,5.156,20.7,32.329,20.7,20.7,0,0,0,0,15,31.436,0,0,0,0,0,0,0,8.22,0
2020,1,9,0,0,15,15,15,6.323,17.356,0,11.209,35,50.7,37.496,40.7,40.789,0,0,11.032,20.7,0,0,20.7,20.7,40.7,10.85
2020,1,10,0,32.625,25,2,35.63,7.204,20,0,9.935,35,47.665,30.492,12.416,9.503,30,15,35.7,19.982,28.889,0,20.7,20.7,15,15
2020,1,11,0,36,15,15,28.802,20.7,0,15,20.7,20.7,20.3,20.39,55.7,55.7,40.7,55.7,20.7,0,13.481,20.7,0,33.468,49.354,20.169
2020,1,12,33.25,33.75,15,0,35.7,30,0,16.965,0,0,70,0,65,0.147,35,60.262,55.7,20.3,20.3,40.988,20.599,7.168,31.252,35.7
2020,1,13,20,15,4.867,0,20.7,40.7,20.7,20,38.176,15,15,44.846,45,47.052,15,42.792,20.7,20.7,39.376,29.373,20,15.339,15,30
2020,1,14,15,15,5,0,12.548,0,20,0,36.027,26,15,45.636,0,48.457,15,44.816,35.7,20.3,20.3,18.672,20.3,20.7,0,15
2020,1,15,15,29.68,15,0,15,20,18.3,15,44,37,47.376,65.996,0,64.212,15,12.671,0,28.428,23.546,20.3,20.7,0,20.7,10.034
2020,1,16,0,0,0,0,0,20,20,15,43,35,35.823,53.358,0,50.166,15,50.7,20.7,20.3,19.537,20.7,20.3,21.153,15,11
2020,1,17,0,7.922,0,0,0,20,15.931,0,15,35,36.728,40.551,0,41.037,15,33,15,0,0,2.687,11.893,0,15,15
2020,1,18,0,30,15,0,11.268,16.291,0,35,15,0,38.11,47.985,0,41.679,15,24.287,0,2.6,31.912,32.018,17.198,0,20.7,0
2020,1,19,0,0,0,0,0,20.7,0,35,15,0,28.36,40.721,0,38.795,15,20.995,0,36,20.3,12,3.396,27.363,45,0
2020,1,20,0,30,15,30,15,20.7,0,35,0,26.249,36.32,51.252,0,41.47,15,21,20.7,47,28.068,7.6,20.7,16,0.469,0
