"Year","Month","Day","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
2020,1,1,54,48,54,56,59,62,69,75,77,75,66,57,54,55,44,46,17.7,71,73,75,73,70,68,67
2020,1,2,67,66,66,67,67,68,69,73,75,75,75,75,75,75,73,41.8,0.067,73,73,72,71,69,65,64
2020,1,3,62,53,46,46,50,53,52,58,65,69,71,66,74,73,72,43.7,20.711,66,51.298,55.298,72,70,69,69
2020,1,4,57,46,38,42,42.3,44.8,36.7,0,0.8,12.322,51,58,67,73,71,45.9,5.755,73,71,54.199,53,50,49,47
2020,1,5,47,46,46,46,46,47,47,0,0,4.28,62,72,72,73,70,45,9.546,57,58,49.561,69,70,69,66
2020,1,6,60,58,57,49,51,51,55,0,0,3.99,59,59,62,65,64,23.1,10.383,12.063,62.881,65,42.3,37.765,43.909,55
2020,1,7,49,46,46,47,48,50,52,0,0,3.4,58,58,58,58,55,22.5,10.699,11.192,54.444,49.97,33.3,31.3,50,48
2020,1,8,61,52,51,62,69,71,72,0,0,1.792,59,59,58,58,54,24.1,11.165,11.828,55.408,38.081,34.3,31.3,50,48
2020,1,9,47,47,47,47,49,53,59,0,0,75,77,74,67,5.8,43.6,22.7,8.861,12.066,3.99,63.241,50.3,69,67,65
2020,1,10,58,57,60,65,66,67,63,0,0,64,66,69,73,74,71,24.3,8.926,1.942,0,54.363,43.422,70,66,65
2020,1,11,66,67,66,65,67,68,63.342,13.6,21.3,36.3,54.5,14.541,102,84,71.045,0,24.446,0,0,41.241,28.3,68,61,62
2020,1,12,57,60,51,48,52,54,56,0,44.142,68,72,72,72,73,70,0,3.119,0,0,42.771,29.3,69,68,0
2020,1,13,67,66,66,65,67,68.954,72,0,31.367,71,73,68,19.2,37,70,0,11.261,0,0,39.771,8.327,46.027,47.027,0
2020,1,14,53,50,48,48,49.425,51.434,59,0,28.212,61,60,59,62,64,69,0,8.138,0,0,20.312,17.3,56,56,0
2020,1,15,67,68,65,66,70,67.067,74,0,77,91,98,100,98,90,76.4,0,8.344,0,26,0,0,34.2,22,27.3
2020,1,16,31.4,29.8,45.336,65,66,65.735,72,0,77,77,78,76,75,75,73,0,17.713,0,0,66,0,40.323,30.771,0
2020,1,17,48,48,48,48,49,51.16,54,0,61,60,60,59,58,58,54,0,16.874,0,0,55,0,33.891,35.371,0
2020,1,18,59,66,66,68,68,69.691,71,0,76,77,74,70,66,64,57,40.5,6.3,0,0,2.7,0,22.881,29.861,0
2020,1,19,51,50,52,51,48,46.078,55,18.5,65,67,62,56,57,56,50,49,8.6,1,0,16.699,0,34.047,33.274,0
2020,1,20,67,66,65,66,66,66.571,71,0,76,76,77,72,63,60,51,57.2,42.3,0,30,26.4,0,9.899,13.936,0
2020,1,21,60,41.1,45.4,39.3,61,62.598,70,0,78,78,77,78,71,69,71,20.563,0.039,0,54,0,0,36.326,31.212,0
2020,1,22,67,67,67,67,68,66.792,72,0,75,75,36.1,78,0,0,48,16.331,0.1,0,73,0,0,31.011,25.406,0
2020,1,23,63.753,63.353,59,48.412,47.456,49.675,52.43,0,60,59,39.7,62,60,61,62,41.572,21.734,35.1,75,0,0,43.902,36.689,0
2020,1,24,47.375,50.29,59,63.17,64.155,67.481,68.121,0,76,60,40.1,59,66,60,58,36.233,21.955,0,69.2,0,0,32.205,38.483,0
2020,1,25,63.484,64.576,65,64.495,65.719,63.809,54.293,0,58,58,36.4,57,56,55,52,33.623,10.967,0,58.75,0,0,29.613,28.737,0
2020,1,26,45.526,46.395,47,45.747,46.472,46.913,53.412,0,72,63,36.7,73,74,75,70,31.381,9.419,0,69.666,0,0,33.585,31.288,0
2020,1,27,45.463,45.372,46,45.741,47.446,48.842,52.649,0,57.413,49,36.3,59,58,58,54,33.867,0,0,59.893,0,0,31.558,29.597,0
2020,1,28,44.512,45.319,46,45.466,46.444,47.871,50.66,0,64,72,38.5,76,51,61,74,55.405,0,0,69.233,0,0,37.341,35.033,0
2020,1,29,44.538,45.395,46,45.505,46.473,47.905,50.664,0,59,59,40,59,50.75,58,54,33.637,0,0,54.963,0,0,32.522,32.176,0
2020,1,30,47.335,45.375,46,45.408,46.442,48.85,51.605,0,59,59,40.6,64,63.417,74,73,9.035,3.001,0,69.568,0,0,30.118,36.56,0
2020,1,31,52.259,64,64,65,65.927,66.577,71.001,57.5,76,72,37.2,52,23.816,42.5,44,35.411,5.752,0,74,0,0,36.86,36.739,0
2020,2,1,58.235,53,49,57,51.263,44.954,46.69,0,56,56,56,58,44.588,55,51,4.397,0,0,58,0,0,32.433,29.873,0
2020,2,2,50.729,53,53,50,49.137,49.62,58,57,62,69,73,73,48.623,0,54,46.5,43.968,21.4,32.8,0,0,1.457,17.619,0
2020,2,3,66.831,67,66,67,66.231,70,77,75,77,78,74,64,42.202,0,62,53,27.978,11.053,43.3,8.6,0,0,0.04,0
2020,2,4,20.9,25.3,11.3,16.4,0,18.4,17.6,6.2,13.8,51,38.6,48,31.054,48,43,46.8,45.81,8.689,3.333,7.065,0,0,0,0
2020,2,5,68,1.549,66,5.923,0,69,71.419,74,75,76,37.4,71,39.806,55,34.749,57,37.611,10.169,41.9,24.4,0,0,0,0
2020,2,6,46.4,19.6,27.936,10.636,36.036,65,42.6,72,75,75,72,72,45.745,71,66.8,77,65.893,11.128,16.187,45.483,0,0,0,0
2020,2,7,24.7,0,66,0,4.683,67,27.4,72,74,75,76,76,14.412,75,40.146,79,67.535,4.933,40.315,39.787,0,0,0,0
2020,2,8,11.7,0.9,54,44.9,40.969,52,38.449,59,61,58,50,47,29.623,46,38,53,40.533,3.071,21.7,22.8,0,0,33.3,23.902
2020,2,9,34,14.5,32,4.9,9.6,7.1,0.5,42,45,46,45,44,29.013,43,39,50,39.602,5.923,30,21.8,5.422,4.249,0,6.891
2020,2,10,4.6,0,42,0,28.393,55,6.1,62,67,72,30.835,65,53.413,17.405,10.924,81,69.87,0.806,55,0,0,1.731,0,26.165
2020,2,11,68,4.765,63,0,43.936,70,14.5,75,77,73,15.104,62,35.441,31.786,26.699,55,43.73,6.167,26.2,24.5,9.46,10.767,44.6,35.8
2020,2,12,44,12.158,24.3,35,65.4,41,30.331,72,76.4,87,66.041,69,43.086,54,41.6,55,43.037,4.378,2.58,0.2,5.855,6.798,4.2,25.168
