Year,Month,Day,Period,1,2,3
2020,1,1,1,26.251,0,0
2020,1,1,2,26.272,0,0
2020,1,1,3,26.748,0,0
2020,1,1,4,27.784,0,0
2020,1,1,5,30.894,0,0
2020,1,1,6,35.304,0,0
2020,1,1,7,37.113,0,0
2020,1,1,8,35.865,0,0
2020,1,1,9,33.675,0,0
2020,1,1,10,32.226,0,0
2020,1,1,11,31.296,0,0
2020,1,1,12,30.576,0,0
2020,1,1,13,29.931,0,0
2020,1,1,14,29.519,0,0
2020,1,1,15,29.328,0,0
2020,1,1,16,29.445,0,0
2020,1,1,17,31.814,0,0
2020,1,1,18,35.103,0,0
2020,1,1,19,34.68,0,0
2020,1,1,20,34.056,0,0
2020,1,1,21,32.84,0,0
2020,1,1,22,30.227,0,0
2020,1,1,23,27.636,0,0
2020,1,1,24,26.43,0,0
2020,1,2,1,25.828,0,0
2020,1,2,2,25.754,0,0
2020,1,2,3,26.039,0,0
2020,1,2,4,27.044,0,0
2020,1,2,5,29.635,0,0
2020,1,2,6,33.337,0,0
2020,1,2,7,34.923,0,0
2020,1,2,8,33.443,0,0
2020,1,2,9,31.941,0,0
2020,1,2,10,31.211,0,0
2020,1,2,11,30.555,0,0
2020,1,2,12,30.323,0,0
2020,1,2,13,30.079,0,0
2020,1,2,14,29.751,0,0
2020,1,2,15,29.677,0,0
2020,1,2,16,29.741,0,0
2020,1,2,17,31.592,0,0
2020,1,2,18,34.659,0,0
2020,1,2,19,34.384,0,0
2020,1,2,20,33.39,0,0
2020,1,2,21,31.983,0,0
2020,1,2,22,29.54,0,0
2020,1,2,23,26.98,0,0
2020,1,2,24,25.616,0,0
2020,1,3,1,25.161,0,0
2020,1,3,2,24.685,0,0
2020,1,3,3,24.929,0,0
2020,1,3,4,25.828,0,0
2020,1,3,5,28.186,0,0
2020,1,3,6,31.983,0,0
2020,1,3,7,33.654,0,0
2020,1,3,8,32.808,0,0
2020,1,3,9,31.645,0,0
2020,1,3,10,31.179,0,0
